after_task,average_seen_accuracy,replay_buffer_size,memory_per_class,slow_trained
0,0.9088888888888889,300,20,True
1,0.7511111111111111,600,20,True
2,0.6896296296296297,900,20,True
3,0.83,1200,20,True
4,0.784,1500,20,True
5,0.8337037037037037,1800,20,True
6,0.7552380952380953,2100,20,True
7,0.8211111111111111,2400,20,True
8,0.7841975308641975,2700,20,True
9,0.7891111111111111,3000,20,True
