task,best_accuracy,final_accuracy,forgetting
task_00,0.9088888888888887,0.7511111111111111,0.15777777777777768
task_01,0.94,0.7911111111111111,0.14888888888888885
task_02,0.96,0.7911111111111111,0.16888888888888887
task_03,0.9155555555555556,0.7866666666666666,0.12888888888888894
task_04,0.9711111111111111,0.8155555555555556,0.15555555555555556
task_05,0.9288888888888888,0.8288888888888889,0.09999999999999987
task_06,0.9222222222222224,0.7088888888888889,0.21333333333333349
task_07,0.8888888888888888,0.8111111111111111,0.07777777777777772
task_08,0.8933333333333333,0.7044444444444444,0.18888888888888888
task_09,0.9022222222222224,0.9022222222222224,0.0
