after_task,average_seen_accuracy,replay_buffer_size,memory_per_class
0,0.88,300,20
1,0.7233333333333334,600,20
2,0.6666666666666666,900,20
3,0.7483333333333333,1200,20
4,0.7737777777777778,1500,20
5,0.7785185185185185,1800,20
6,0.7752380952380954,2100,20
7,0.7697222222222222,2400,20
8,0.7644444444444445,2700,20
9,0.7835555555555557,3000,20
