after_task,average_seen_accuracy,replay_buffer_size,memory_per_class
0,0.9155555555555556,300,20
1,0.7044444444444444,600,20
2,0.6807407407407408,900,20
3,0.7355555555555555,1200,20
4,0.764,1500,20
5,0.7788888888888889,1800,20
6,0.7504761904761905,2100,20
7,0.7908333333333333,2400,20
8,0.7716049382716049,2700,20
9,0.7775555555555556,3000,20
