task,best_accuracy,final_accuracy,forgetting
task_00,0.9155555555555556,0.7488888888888889,0.16666666666666663
task_01,0.9333333333333332,0.7844444444444445,0.14888888888888874
task_02,0.9622222222222222,0.7888888888888889,0.17333333333333334
task_03,0.9488888888888888,0.78,0.16888888888888876
task_04,0.9622222222222222,0.8022222222222222,0.16000000000000003
task_05,0.9533333333333334,0.7844444444444445,0.16888888888888887
task_06,0.9155555555555556,0.7044444444444444,0.21111111111111114
task_07,0.9244444444444444,0.8088888888888889,0.11555555555555552
task_08,0.8955555555555555,0.6888888888888889,0.20666666666666667
task_09,0.8844444444444445,0.8844444444444445,0.0
