after_task,average_seen_accuracy,replay_buffer_size,memory_per_class
0,0.9333333333333333,300,20
1,0.7111111111111111,600,20
2,0.6837037037037037,900,20
3,0.7561111111111111,1200,20
4,0.7937777777777778,1500,20
5,0.7799999999999999,1800,20
6,0.7669841269841269,2100,20
7,0.7697222222222222,2400,20
8,0.7785185185185184,2700,20
9,0.7724444444444445,3000,20
