after_task,average_seen_accuracy,replay_buffer_size,memory_per_class,slow_trained
0,0.9266666666666666,300,20,True
1,0.7555555555555555,600,20,True
2,0.7103703703703704,900,20,True
3,0.8088888888888889,1200,20,True
4,0.7813333333333332,1500,20,True
5,0.8277777777777778,1800,20,True
6,0.7549206349206349,2100,20,True
7,0.821388888888889,2400,20,True
8,0.7938271604938272,2700,20,True
9,0.7931111111111111,3000,20,True
