after_task,average_seen_accuracy,replay_buffer_size,memory_per_class
0,0.7288888888888889,300,20
1,0.41333333333333333,600,20
2,0.3214814814814815,900,20
3,0.3205555555555556,1200,20
4,0.36044444444444446,1500,20
5,0.3970370370370371,1800,20
6,0.42380952380952375,2100,20
7,0.5336111111111111,2400,20
8,0.5624691358024692,2700,20
9,0.5722222222222222,3000,20
