task,best_accuracy,final_accuracy,forgetting
task_00,0.7288888888888889,0.4866666666666667,0.24222222222222223
task_01,0.8222222222222222,0.5022222222222222,0.31999999999999995
task_02,0.8866666666666667,0.5777777777777777,0.308888888888889
task_03,0.8555555555555555,0.5755555555555556,0.2799999999999999
task_04,0.8755555555555555,0.6266666666666667,0.24888888888888883
task_05,0.9133333333333332,0.6288888888888889,0.2844444444444443
task_06,0.88,0.4688888888888889,0.4111111111111111
task_07,0.8777777777777778,0.6288888888888889,0.24888888888888883
task_08,0.8977777777777778,0.4222222222222222,0.47555555555555556
task_09,0.8044444444444444,0.8044444444444444,0.0
