config,final_average_accuracy,avg_forgetting_including_final,avg_forgetting_excluding_final,memory_examples,fast_weight,medium_weight,slow_weight
no_fast_90_10,0.5922222222222222,0.2617777777777778,0.29086419753086423,3000,0.0,0.9,0.1
medium_only,0.5757777777777777,0.28155555555555556,0.3128395061728395,3000,0.0,1.0,0.0
medium_heavy_95,0.538,0.3244444444444445,0.3604938271604939,3000,0.025,0.95,0.025
fast_light_slow_10,0.4962222222222222,0.36911111111111106,0.4101234567901234,3000,0.05,0.85,0.1
medium_heavy_90,0.49155555555555547,0.37555555555555553,0.41728395061728396,3000,0.05,0.9,0.05
fast_10_medium_85_slow_05,0.3826666666666666,0.49000000000000005,0.5444444444444445,3000,0.1,0.85,0.05
balanced_v1,0.2648888888888889,0.6124444444444446,0.6804938271604939,3000,0.15,0.7,0.15
