task,best_accuracy,final_accuracy,forgetting
task_00,0.7466666666666667,0.4955555555555556,0.2511111111111111
task_01,0.8911111111111111,0.4533333333333333,0.43777777777777777
task_02,0.8755555555555555,0.5377777777777778,0.33777777777777773
task_03,0.88,0.5022222222222222,0.37777777777777777
task_04,0.9155555555555556,0.5466666666666666,0.36888888888888893
task_05,0.8888888888888888,0.5977777777777777,0.2911111111111111
task_06,0.8755555555555555,0.3888888888888889,0.48666666666666664
task_07,0.8266666666666667,0.5977777777777777,0.22888888888888892
task_08,0.8866666666666667,0.4222222222222222,0.4644444444444445
task_09,0.8377777777777777,0.8377777777777777,0.0
