method,memory_per_class,memory_examples,final_average_accuracy,avg_forgetting_including_final,avg_forgetting_excluding_final
mtm_no_fast_90_10,5,750,0.10444444444444442,0.7028888888888889,0.7809876543209877
replay_frozen,5,750,0.11311111111111108,0.7233333333333334,0.8037037037037037
mtm_no_fast_90_10,10,1500,0.2859999999999999,0.5595555555555556,0.6217283950617284
replay_frozen,10,1500,0.2706666666666666,0.5922222222222222,0.6580246913580247
mtm_no_fast_90_10,20,3000,0.5922222222222222,0.2617777777777778,0.2908641975308642
replay_frozen,20,3000,0.5722222222222222,0.2819999999999999,0.31333333333333324
