after_task,average_seen_accuracy,replay_buffer_size,memory_per_class,slow_trained
0,0.9311111111111111,300,20,True
1,0.7622222222222222,600,20,True
2,0.6837037037037037,900,20,True
3,0.8083333333333333,1200,20,True
4,0.7844444444444445,1500,20,True
5,0.8322222222222223,1800,20,True
6,0.7641269841269842,2100,20,True
7,0.8102777777777779,2400,20,True
8,0.7802469135802469,2700,20,True
9,0.7791111111111111,3000,20,True
