task,best_accuracy,final_accuracy,forgetting
task_00,0.7288888888888889,0.0022222222222222,0.7266666666666667
task_01,0.8266666666666667,0.0333333333333333,0.7933333333333333
task_02,0.7933333333333333,0.0044444444444444,0.788888888888889
task_03,0.8377777777777777,0.0422222222222222,0.7955555555555556
task_04,0.8955555555555555,0.0333333333333333,0.8622222222222222
task_05,0.8555555555555555,0.0844444444444444,0.7711111111111111
task_06,0.8577777777777778,0.0155555555555555,0.8422222222222222
task_07,0.8733333333333333,0.0488888888888888,0.8244444444444445
task_08,0.8755555555555555,0.0466666666666666,0.8288888888888889
task_09,0.82,0.82,0.0
