after_task,average_seen_accuracy,replay_buffer_size,memory_per_class
0,0.7288888888888889,75,5
1,0.41333333333333333,150,5
2,0.2644444444444444,225,5
3,0.20944444444444443,300,5
4,0.1791111111111111,375,5
5,0.14407407407407405,450,5
6,0.12793650793650793,525,5
7,0.12361111111111112,600,5
8,0.12123456790123457,675,5
9,0.11311111111111112,750,5
