task,best_accuracy,final_accuracy,forgetting
task_00,0.9177777777777778,0.7666666666666667,0.15111111111111108
task_01,0.9511111111111112,0.7622222222222222,0.188888888888889
task_02,0.9733333333333334,0.78,0.19333333333333336
task_03,0.94,0.7888888888888889,0.15111111111111108
task_04,0.96,0.82,0.14
task_05,0.9577777777777776,0.82,0.13777777777777767
task_06,0.92,0.7066666666666667,0.21333333333333337
task_07,0.9244444444444444,0.8311111111111111,0.09333333333333327
task_08,0.8955555555555555,0.7044444444444444,0.19111111111111112
task_09,0.8911111111111111,0.8911111111111111,0.0
