after_task,average_seen_accuracy,replay_buffer_size,memory_per_class
0,0.9177777777777778,300,20
1,0.7111111111111111,600,20
2,0.668888888888889,900,20
3,0.7688888888888888,1200,20
4,0.7737777777777778,1500,20
5,0.7874074074074073,1800,20
6,0.7739682539682539,2100,20
7,0.7944444444444444,2400,20
8,0.7938271604938271,2700,20
9,0.7871111111111111,3000,20
