method,metric,mean,sd,se,ci95_low,ci95_high,n_seeds
mtm_no_fast_90_10,final_average_accuracy,0.7850666666666667,0.004538994286821998,0.002029899954963433,0.7794307608726673,0.7907025724606661,5
mtm_no_fast_90_10,avg_forgetting_including_final,0.13813333333333327,0.007253096401359043,0.0032436833201595835,0.12912742465626448,0.14713924201040207,5
mtm_no_fast_90_10,avg_forgetting_excluding_final,0.1534814814814814,0.00805899600151004,0.003604092577955089,0.1434749162847383,0.16348804667822453,5
replay_frozen,final_average_accuracy,0.7819999999999999,0.008527370601933239,0.003813556067051204,0.7714118709242382,0.7925881290757616,5
replay_frozen,avg_forgetting_including_final,0.1506666666666666,0.007287737036358478,0.0032591750830880824,0.14161774596024407,0.1597155873730891,5
replay_frozen,avg_forgetting_excluding_final,0.16740740740740737,0.008097485595953859,0.0036213056478756446,0.15735305106693792,0.1774617637478768,5
