after_task,average_seen_accuracy,replay_buffer_size,memory_per_class,slow_trained
0,0.9244444444444444,300,20,True
1,0.7522222222222222,600,20,True
2,0.7103703703703704,900,20,True
3,0.8400000000000001,1200,20,True
4,0.7764444444444444,1500,20,True
5,0.837037037037037,1800,20,True
6,0.7615873015873015,2100,20,True
7,0.8255555555555556,2400,20,True
8,0.7918518518518518,2700,20,True
9,0.7815555555555556,3000,20,True
