task,best_accuracy,final_accuracy,forgetting
task_00,0.9244444444444444,0.7644444444444445,0.15999999999999992
task_01,0.9555555555555556,0.8244444444444444,0.13111111111111118
task_02,0.9666666666666668,0.7644444444444445,0.2022222222222223
task_03,0.9244444444444444,0.7933333333333333,0.13111111111111107
task_04,0.9488888888888888,0.7933333333333333,0.15555555555555545
task_05,0.9422222222222222,0.7666666666666667,0.17555555555555546
task_06,0.9022222222222224,0.7133333333333334,0.188888888888889
task_07,0.9,0.8222222222222222,0.07777777777777783
task_08,0.8844444444444445,0.6711111111111111,0.21333333333333337
task_09,0.9022222222222224,0.9022222222222224,0.0
