task,best_accuracy,final_accuracy,forgetting
task_00,0.7311111111111112,0.0266666666666666,0.7044444444444445
task_01,0.7711111111111111,0.0311111111111111,0.74
task_02,0.8111111111111111,0.02,0.7911111111111111
task_03,0.7777777777777778,0.0311111111111111,0.7466666666666667
task_04,0.9133333333333332,0.0822222222222222,0.831111111111111
task_05,0.8577777777777778,0.0733333333333333,0.7844444444444445
task_06,0.84,0.02,0.82
task_07,0.8377777777777777,0.0555555555555555,0.7822222222222223
task_08,0.8777777777777778,0.0488888888888888,0.828888888888889
task_09,0.6555555555555556,0.6555555555555556,0.0
