after_task,average_seen_accuracy,replay_buffer_size,memory_per_class,slow_trained
0,0.7311111111111112,75,5,True
1,0.38555555555555554,150,5,True
2,0.27037037037037037,225,5,True
3,0.19444444444444445,300,5,True
4,0.18266666666666667,375,5,True
5,0.14444444444444443,450,5,True
6,0.1253968253968254,525,5,True
7,0.11944444444444444,600,5,True
8,0.12987654320987654,675,5,True
9,0.10444444444444442,750,5,True
