after_task,average_seen_accuracy,replay_buffer_size,memory_per_class
0,0.7288888888888889,150,10
1,0.45666666666666667,300,10
2,0.29259259259259257,450,10
3,0.21666666666666667,600,10
4,0.18666666666666668,750,10
5,0.20851851851851852,900,10
6,0.20317460317460317,1050,10
7,0.22888888888888886,1200,10
8,0.2232098765432099,1350,10
9,0.27066666666666667,1500,10
