after_task,average_seen_accuracy,replay_buffer_size,memory_per_class,slow_trained
0,0.7311111111111112,300,20,True
1,0.44333333333333336,600,20,True
2,0.30962962962962964,900,20,True
3,0.42333333333333334,1200,20,True
4,0.368,1500,20,True
5,0.48888888888888893,1800,20,True
6,0.44571428571428573,2100,20,True
7,0.5913888888888889,2400,20,True
8,0.5743209876543209,2700,20,True
9,0.5922222222222222,3000,20,True
