after_task,average_seen_accuracy,replay_buffer_size,memory_per_class,slow_trained
0,0.8044444444444444,300,20,True
1,0.45666666666666667,600,20,True
2,0.29555555555555557,900,20,True
3,0.2288888888888889,1200,20,True
4,0.192,1500,20,True
5,0.21518518518518517,1800,20,True
6,0.17809523809523808,2100,20,True
7,0.2758333333333333,2400,20,True
8,0.22024691358024692,2700,20,True
9,0.2648888888888889,3000,20,True
