after_task,average_seen_accuracy,replay_buffer_size,memory_per_class
0,0.9066666666666666,300,20
1,0.7133333333333334,600,20
2,0.6962962962962963,900,20
3,0.7616666666666667,1200,20
4,0.7773333333333333,1500,20
5,0.8048148148148148,1800,20
6,0.7542857142857143,2100,20
7,0.7927777777777778,2400,20
8,0.78320987654321,2700,20
9,0.7939999999999999,3000,20
