task,best_accuracy,final_accuracy,forgetting
task_00,0.9066666666666666,0.7911111111111111,0.11555555555555552
task_01,0.96,0.8355555555555556,0.12444444444444436
task_02,0.9711111111111111,0.7622222222222222,0.2088888888888889
task_03,0.9377777777777778,0.7977777777777778,0.14
task_04,0.96,0.8088888888888889,0.15111111111111108
task_05,0.9644444444444444,0.8022222222222222,0.16222222222222227
task_06,0.92,0.7266666666666667,0.19333333333333336
task_07,0.9177777777777778,0.7911111111111111,0.1266666666666667
task_08,0.8977777777777778,0.7133333333333334,0.1844444444444444
task_09,0.9111111111111112,0.9111111111111112,0.0
