method,final_average_accuracy,avg_forgetting_excluding_final,memory_examples
sequential_frozen,0.08977777777777778,0.9370370370370371,0
replay_frozen,0.7835555555555557,0.1580246913580247,3000
mtm_frozen_v1_balanced,0.26488888888888884,0.6804938271604939,3000
mtm_best_no_fast_90_10,0.5922222222222222,0.2908641975308642,3000
