method,final_average_accuracy,avg_forgetting_excluding_final,memory_examples
sequential_frozen,0.08977777777777778,0.9370370370370371,0
replay_frozen,0.7835555555555557,0.1580246913580247,3000
mtm_frozen_v1,0.26488888888888884,0.6804938271604939,3000
mtm_frozen_tuned,0.49155555555555547,0.41728395061728396,3000
