after_task,average_seen_accuracy,replay_buffer_size,memory_per_class,slow_trained
0,0.9088888888888889,300,20,True
1,0.7544444444444445,600,20,True
2,0.6933333333333334,900,20,True
3,0.8344444444444445,1200,20,True
4,0.7586666666666667,1500,20,True
5,0.8411111111111111,1800,20,True
6,0.7752380952380953,2100,20,True
7,0.8247222222222222,2400,20,True
8,0.7817283950617284,2700,20,True
9,0.7891111111111112,3000,20,True
