task,best_accuracy,final_accuracy,forgetting
task_00,0.9088888888888887,0.7622222222222222,0.1466666666666665
task_01,0.9511111111111112,0.7844444444444445,0.16666666666666674
task_02,0.9644444444444444,0.8155555555555556,0.14888888888888885
task_03,0.9155555555555556,0.7777777777777778,0.13777777777777778
task_04,0.9622222222222222,0.7933333333333333,0.16888888888888887
task_05,0.9466666666666668,0.7888888888888889,0.1577777777777779
task_06,0.8844444444444445,0.7288888888888889,0.15555555555555556
task_07,0.8622222222222222,0.8466666666666667,0.015555555555555545
task_08,0.8777777777777778,0.6933333333333334,0.1844444444444444
task_09,0.9,0.9,0.0
