after_task,average_seen_accuracy,replay_buffer_size,memory_per_class,slow_trained
0,0.7355555555555555,150,10,True
1,0.4,300,10,True
2,0.3014814814814815,450,10,True
3,0.2111111111111111,600,10,True
4,0.19777777777777777,750,10,True
5,0.23296296296296296,900,10,True
6,0.22380952380952382,1050,10,True
7,0.2602777777777778,1200,10,True
8,0.27382716049382716,1350,10,True
9,0.28600000000000003,1500,10,True
