after_task,average_seen_accuracy,replay_buffer_size,memory_per_class
0,0.9444444444444444,300,20
1,0.6855555555555556,600,20
2,0.6940740740740741,900,20
3,0.7638888888888888,1200,20
4,0.7773333333333333,1500,20
5,0.7933333333333333,1800,20
6,0.7679365079365079,2100,20
7,0.7936111111111112,2400,20
8,0.7839506172839505,2700,20
9,0.778888888888889,3000,20
