task,best_accuracy,final_accuracy,forgetting
task_00,0.9444444444444444,0.7444444444444445,0.19999999999999996
task_01,0.9488888888888888,0.7733333333333333,0.17555555555555546
task_02,0.9666666666666668,0.7955555555555556,0.1711111111111112
task_03,0.9422222222222222,0.7666666666666667,0.17555555555555546
task_04,0.9577777777777776,0.8066666666666666,0.15111111111111097
task_05,0.9577777777777776,0.7666666666666667,0.1911111111111109
task_06,0.9333333333333332,0.6955555555555556,0.23777777777777764
task_07,0.9222222222222224,0.8333333333333334,0.08888888888888902
task_08,0.8777777777777778,0.6955555555555556,0.18222222222222217
task_09,0.9111111111111112,0.9111111111111112,0.0
