task,best_accuracy,final_accuracy,forgetting
task_00,0.9377777777777778,0.7688888888888888,0.16888888888888898
task_01,0.9444444444444444,0.82,0.12444444444444447
task_02,0.96,0.8044444444444444,0.15555555555555556
task_03,0.9355555555555556,0.7577777777777778,0.1777777777777778
task_04,0.9577777777777776,0.8044444444444444,0.1533333333333332
task_05,0.9288888888888888,0.78,0.14888888888888874
task_06,0.9244444444444444,0.7244444444444444,0.19999999999999996
task_07,0.8733333333333333,0.8,0.07333333333333325
task_08,0.9,0.7155555555555555,0.18444444444444452
task_09,0.8888888888888888,0.8888888888888888,0.0
