after_task,average_seen_accuracy,replay_buffer_size,memory_per_class,slow_trained
0,0.9377777777777778,300,20,True
1,0.7577777777777778,600,20,True
2,0.6651851851851852,900,20,True
3,0.8177777777777778,1200,20,True
4,0.8106666666666665,1500,20,True
5,0.8448148148148148,1800,20,True
6,0.7742857142857142,2100,20,True
7,0.8147222222222221,2400,20,True
8,0.7918518518518519,2700,20,True
9,0.7864444444444445,3000,20,True
