after_task,average_seen_accuracy
0,0.9177777777777778
1,0.4722222222222222
2,0.3214814814814815
3,0.23222222222222222
4,0.19155555555555553
5,0.16074074074074074
6,0.13111111111111112
7,0.11416666666666667
8,0.10320987654320987
9,0.08977777777777778
