after_task,average_seen_accuracy,replay_buffer_size,memory_per_class,slow_trained
0,0.7622222222222222,300,20,True
1,0.4488888888888889,600,20,True
2,0.29333333333333333,900,20,True
3,0.30000000000000004,1200,20,True
4,0.2666666666666667,1500,20,True
5,0.3355555555555556,1800,20,True
6,0.32476190476190475,2100,20,True
7,0.4272222222222222,2400,20,True
8,0.44962962962962955,2700,20,True
9,0.49155555555555547,3000,20,True
